,SV,UTC,S4C,Lat,Lon
0,G09,2026-01-27 04:02:10,0.08466849438125995,14.279535153932127,98.63208872089888
1,G04,2026-01-27 04:02:10,0.08090621818839604,12.682525620604737,99.9881522199972
2,G08,2026-01-27 04:02:10,0.11872867715475997,14.842680919669261,101.06921779068026
3,G02,2026-01-27 04:02:10,0.16447400942982313,10.716431532701066,103.29833242757681
4,G27,2026-01-27 04:02:10,0.14892736012307514,17.033064180421643,102.90019729252687
5,G01,2026-01-27 04:02:10,0.19123271646004072,6.5216931639256135,101.73991199603263
6,G09,2026-01-27 04:02:20,0.08941249088580691,14.274188831583027,98.63249125654215
7,G04,2026-01-27 04:02:20,0.08090621643227737,12.67712948172305,99.98838057213477
8,G08,2026-01-27 04:02:20,0.10428164210195771,14.847580210649806,101.0705656292524
9,G02,2026-01-27 04:02:20,0.16698964382981535,10.725410603766965,103.29833521891895
10,G27,2026-01-27 04:02:20,0.13747480465929726,17.04158918382996,102.90488041324352
11,G01,2026-01-27 04:02:20,0.18766114109530796,6.536862827598054,101.74466788461376
12,G09,2026-01-27 04:02:30,0.09011194776522843,14.268843814579935,98.63289005502914
13,G04,2026-01-27 04:02:30,0.06946987719369906,12.671728409227269,99.98860930278995
14,G08,2026-01-27 04:02:30,0.09691930749843082,14.852481867618623,101.07191800612598
15,G02,2026-01-27 04:02:30,0.17298102949234698,10.734375948959736,103.29833372990645
16,G27,2026-01-27 04:02:30,0.1352182128277938,17.05013165304202,102.90958282545432
17,G01,2026-01-27 04:02:30,0.19235907396688115,6.552011435174787,101.74940065018568
18,G09,2026-01-27 04:02:40,0.09830251044502711,14.263500080482514,98.6332851300669
19,G07,2026-01-27 04:02:40,0.28271678038795467,19.18334017658656,97.10657986588741
20,G04,2026-01-27 04:02:40,0.05391991661607005,12.666322380074359,99.98883842289057
21,G08,2026-01-27 04:02:40,0.08392591837481946,14.857385904956418,101.07327493734947
22,G02,2026-01-27 04:02:40,0.181202550109093,10.743327601945706,103.29832798974945
23,G27,2026-01-27 04:02:40,0.14479071981233202,17.058691658563507,102.91430461224124
24,G01,2026-01-27 04:02:40,0.1989659170401318,6.5671389568523395,101.75411037047785
25,G09,2026-01-27 04:02:50,0.09102423751202565,14.258157606876708,98.63367649532601
26,G04,2026-01-27 04:02:50,0.05057546626505092,12.660911371168728,99.98906794338458
27,G08,2026-01-27 04:02:50,0.08003123947641164,14.862292337053308,101.07463643901337
28,G02,2026-01-27 04:02:50,0.181609007020157,10.752265596385188,103.2983180275489
29,G27,2026-01-27 04:02:50,0.16012283901309038,17.067269271172815,102.91904585710633
30,G01,2026-01-27 04:02:50,0.18805293117823638,6.582245363437585,101.7587971231485
31,G09,2026-01-27 04:03:00,0.09413385802594218,14.252816371377376,98.63406416444057
32,G04,2026-01-27 04:03:00,0.06145886367729405,12.655495359359515,99.9892978752405
33,G08,2026-01-27 04:03:00,0.08003124123253033,14.867201178310054,101.0760025272508
34,G02,2026-01-27 04:03:00,0.18438509378541443,10.761189965938808,103.29830387229705
35,G27,2026-01-27 04:03:00,0.16401751791149902,17.075864561925318,102.92380664397585
36,G01,2026-01-27 04:03:00,0.18443982633989967,6.59733062634715,101.7634609857835
37,G09,2026-01-27 04:03:10,0.09822498669956868,14.24747635162512,98.63444815100866
38,G04,2026-01-27 04:03:10,0.07926633254430547,12.6500743214434,99.9895282294473
39,G08,2026-01-27 04:03:10,0.08003124298864901,14.8721124431359,101.07737321823697
40,G02,2026-01-27 04:03:10,0.20150331739713853,10.770100744265488,103.29828555287783
41,G27,2026-01-27 04:03:10,0.1647932657529812,17.084477602149992,102.92858705720019
42,G01,2026-01-27 04:03:10,0.1723442731400628,6.612394717597699,101.76810203589275
43,G09,2026-01-27 04:03:20,0.09822498494345,14.24213752528933,98.63482846859236
44,G04,2026-01-27 04:03:20,0.08385573783936327,12.644648234161455,99.9897590170149
45,G08,2026-01-27 04:03:20,0.07166553918179004,14.877026145949518,101.07874852818968
46,G02,2026-01-27 04:03:20,0.20727278748806544,10.778997965020015,103.29826309806724
47,G27,2026-01-27 04:03:20,0.16722489001100369,17.093108463455696,102.93338718155914
48,G01,2026-01-27 04:03:20,0.17026312920556477,6.627437609812715,101.77272035091168
49,G09,2026-01-27 04:03:30,0.09565270989312552,14.23679987006495,98.63520513071818
50,G04,2026-01-27 04:03:30,0.07818532527961697,12.639217074201001,99.98999024897408
51,G08,2026-01-27 04:03:30,0.056861800984773066,14.881942301180546,101.08012847336991
