,SV,UTC,S4C,Lat,Lon
0,G02,2026-01-27 04:02:00,0.07034013065270542,13.939051969270334,103.10400990083934
1,G04,2026-01-27 04:02:00,0.06827766760922772,16.15320075236403,99.52071811012345
2,G07,2026-01-27 04:02:00,0.10672920677497019,22.1884607752749,96.87499978832376
3,G08,2026-01-27 04:02:00,0.04264145682933112,18.327538910326606,100.620886417616
4,G09,2026-01-27 04:02:00,0.01180779311716729,17.774486804087296,98.1715530495232
5,G27,2026-01-27 04:02:00,0.05436426318831382,20.35675779692211,102.36931571693177
6,G02,2026-01-27 04:02:10,0.06565079036531041,13.949393278042505,103.10352214916377
7,G04,2026-01-27 04:02:10,0.06372582485806456,16.147493842606742,99.52090924090562
8,G07,2026-01-27 04:02:10,0.1147820507802257,22.181830326663693,96.88476836929787
9,G08,2026-01-27 04:02:10,0.03979869479682773,18.332265747909002,100.62217850716652
10,G09,2026-01-27 04:02:10,0.011020608665474826,17.76923110568983,98.17177470070041
11,G27,2026-01-27 04:02:10,0.05073998073187825,20.364366649483983,102.37351646441391
12,G02,2026-01-27 04:02:20,0.06565079036531041,13.959715608078168,103.10303026821862
13,G04,2026-01-27 04:02:20,0.06372582485806456,16.14178039005739,99.52110077411487
14,G07,2026-01-27 04:02:20,0.10771768525829858,22.175202596772113,96.89451039442763
15,G08,2026-01-27 04:02:20,0.03979869479682773,18.336993895601662,100.62347488787312
16,G09,2026-01-27 04:02:20,0.011020608665474826,17.76397545826656,98.1719926956036
17,G27,2026-01-27 04:02:20,0.06297736641385314,20.371989182253472,102.3777342377411
18,G02,2026-01-27 04:02:30,0.055642322302591,13.970019009387793,103.10253429196969
19,G04,2026-01-27 04:02:30,0.0527579040008275,16.136060366804955,99.52129272114536
20,G07,2026-01-27 04:02:30,0.09670415927693109,22.168577604536555,96.90422592854212
21,G08,2026-01-27 04:02:30,0.031075563784035323,18.341723366567546,100.6247755743854
22,G09,2026-01-27 04:02:30,0.0010121406027554238,17.75871984029406,98.17220704621491
23,G27,2026-01-27 04:02:30,0.06577752025360534,20.379625450571908,102.38196910661918
24,G02,2026-01-27 04:02:40,0.05228006656892895,13.98030353194929,103.10203425422837
25,G04,2026-01-27 04:02:40,0.04199940657125042,16.130333744856923,99.5214850934174
26,G07,2026-01-27 04:02:40,0.11077700564631136,22.161955368726318,96.91391503637018
27,G08,2026-01-27 04:02:40,0.020231557970675444,18.3464541739704,100.62608058138821
28,G09,2026-01-27 04:02:40,2.6341780319308768e-08,17.753464230257336,98.1724177644865
29,G27,2026-01-27 04:02:40,0.06577752200972402,20.387275509988186,102.38622114109782
30,G02,2026-01-27 04:02:50,0.04675861277971942,13.990569225701105,103.10153018865259
31,G04,2026-01-27 04:02:50,0.04098729231027531,16.124600496142072,99.52167790237749
32,G07,2026-01-27 04:02:50,0.1137289285119639,22.155335907948874,96.92357778253364
33,G08,2026-01-27 04:02:50,0.01688710937577501,18.351186330971913,100.62738992360097
34,G09,2026-01-27 04:02:50,2.6341780319308768e-08,17.748208606652586,98.17262486234034
35,G27,2026-01-27 04:02:50,0.07610763712654414,20.394939416255266,102.39049041157001
36,G02,2026-01-27 04:03:00,0.05826734281578167,14.000816140554956,103.1010221287469
37,G04,2026-01-27 04:03:00,0.04098729231027531,16.118860592502898,99.52187115949884
38,G07,2026-01-27 04:03:00,0.116631564735431,22.148719240641206,96.9332142315606
