,SV,UTC,S4C,Lat,Lon
0,G01,2026-01-27 04:02:00,0.15313184262070212,8.818110792440606,103.81670635651504
1,G02,2026-01-27 04:02:00,0.0749722036064504,13.848422492725101,105.42278655301084
2,G04,2026-01-27 04:02:00,0.11370337652948641,15.948745456253498,101.99316960514578
3,G07,2026-01-27 04:02:00,0.1214987053696663,22.23732615316816,99.2681982311348
4,G08,2026-01-27 04:02:00,0.03333137623867544,18.11629684536186,103.12668549517201
5,G09,2026-01-27 04:02:00,0.052994197220537255,17.60229451197942,100.61617659327698
6,G27,2026-01-27 04:02:00,0.06707360981760328,20.063719942445637,104.83790451359953
7,G01,2026-01-27 04:02:10,0.1586684459583983,8.837277215647255,103.82207394986357
8,G02,2026-01-27 04:02:10,0.08108648174564695,13.858329212155086,105.42251332810939
9,G04,2026-01-27 04:02:10,0.10612315318363934,15.943009279535637,101.99327018506594
10,G07,2026-01-27 04:02:10,0.11868540539069189,22.229749587893764,99.27876171941811
11,G08,2026-01-27 04:02:10,0.031109284489430407,18.12097689934556,103.12801944709072
12,G09,2026-01-27 04:02:10,0.059469720558006194,17.596891060558512,100.61634972368711
13,G27,2026-01-27 04:02:10,0.06771764385362294,20.071001071919046,104.84196840664734
14,G01,2026-01-27 04:02:20,0.14160979560121856,8.856410997507872,103.82741284658691
15,G02,2026-01-27 04:02:20,0.09316976800502426,13.868217677065992,105.42223600350384
16,G04,2026-01-27 04:02:20,0.09785612084794747,15.937266634310904,101.99337101109784
17,G07,2026-01-27 04:02:20,0.11868540539069189,22.222178627888397,99.28929432700012
18,G08,2026-01-27 04:02:20,0.031109284489430414,18.12565806524948,103.12935756508391
19,G09,2026-01-27 04:02:20,0.0604818348189813,17.591487805165805,100.61651893334734
20,G27,2026-01-27 04:02:20,0.06771764385362294,20.078294415683516,104.84604825881222
21,G01,2026-01-27 04:02:30,0.14494527838898755,8.875512106029912,103.83272315405156
22,G02,2026-01-27 04:02:30,0.10703170698846877,13.878087938441405,105.42195461090759
23,G04,2026-01-27 04:02:30,0.09319946478929303,15.931517492991537,101.99347209434451
24,G07,2026-01-27 04:02:30,0.10653088874446759,22.21461328766961,99.29979613830417
25,G08,2026-01-27 04:02:30,0.031109284489430407,18.13034035511257,103.13069986341854
26,G09,2026-01-27 04:02:30,0.0604818348189813,17.58608472281046,100.61668423477134
27,G27,2026-01-27 04:02:30,0.07856165142310152,20.085600021099417,104.85014413342294
28,G01,2026-01-27 04:02:40,0.15135975017996256,8.894580510201598,103.83800497950155
29,G02,2026-01-27 04:02:40,0.12092081571149173,13.887940047202694,105.4216691818914
30,G04,2026-01-27 04:02:40,0.07935202922294302,15.925761827914155,101.99357344593369
31,G07,2026-01-27 04:02:40,0.10194148344940906,22.207053581555332,99.31026723758802
32,G08,2026-01-27 04:02:40,0.020779169372610283,18.13502378096964,103.13204635639319
33,G09,2026-01-27 04:02:40,0.06831175543657533,17.580681790515467,100.61684564043952
34,G27,2026-01-27 04:02:40,0.0942359436969471,20.09291793569115,104.85425609410746
35,G01,2026-01-27 04:02:50,0.15947191075919842,8.913616179985405,103.84325843005533
36,G02,2026-01-27 04:02:50,0.12416399421828163,13.8977740542085,105.42137974788405
37,G04,2026-01-27 04:02:50,0.0650625855378444,15.91999961133918,101.99367507701795
38,G07,2026-01-27 04:02:50,0.10194148344940906,22.199499523665523,99.32070770894302
39,G08,2026-01-27 04:02:50,0.017858233885408904,18.13970835485137,103.13339705833805
40,G09,2026-01-27 04:02:50,0.06941320049212953,17.575278985317382,100.61700316279911
41,G27,2026-01-27 04:02:50,0.10459294821306919,20.10024820714823,104.85838420479473
42,G01,2026-01-27 04:03:00,0.1452919767258594,8.932619086310392,103.84848361270272
43,G02,2026-01-27 04:03:00,0.13256361968913485,13.907590010253275,105.42108634017289
44,G04,2026-01-27 04:03:00,0.06181348453641443,15.91423081545145,101.9937769987749
45,G07,2026-01-27 04:03:00,0.10024711112377775,22.19195112792396,99.3311176362929
46,G08,2026-01-27 04:03:00,0.00786836805909415,18.14439408878364,103.1347519836149
47,G09,2026-01-27 04:03:00,0.07745352021156446,17.569876284266797,100.6171568142646
48,G27,2026-01-27 04:03:00,0.10570821459904836,20.107590883324914,104.86252852971585
