,SV,UTC,S4C,Lat,Lon
0,G01,2026-01-27 04:02:00,0.12501848960756853,5.068656080009819,100.96121730527446
1,G02,2026-01-27 04:02:00,0.09303980073212557,8.88070270266608,102.511800680002
2,G04,2026-01-27 04:02:00,2.6341780319308768e-08,10.78867941866587,99.27742102359144
3,G07,2026-01-27 04:02:00,0.0721466030143548,17.549773037953695,96.21148724589685
4,G08,2026-01-27 04:02:00,0.030020331229975196,12.940159498881002,100.34231210256178
5,G09,2026-01-27 04:02:00,0.05699670757963381,12.367824534511067,97.92468220250966
6,G27,2026-01-27 04:02:00,0.03066738885458496,15.275983393371083,102.24905415426814
7,G01,2026-01-27 04:02:10,0.12637025490814627,5.082048421214512,100.96576119928454
8,G02,2026-01-27 04:02:10,0.08683714734998386,8.889204279709006,102.51199469487814
9,G04,2026-01-27 04:02:10,2.6341780319308768e-08,10.783440786887645,99.27769289491688
10,G07,2026-01-27 04:02:10,0.08488036064789425,17.54116982048802,96.222944954455
11,G08,2026-01-27 04:02:10,0.03767447993436442,12.945203885405482,100.34368299182445
12,G09,2026-01-27 04:02:10,0.06106529513341904,12.362455754677356,97.92520100206704
13,G27,2026-01-27 04:02:10,0.04423735228049397,15.285283519002302,102.25412122409638
14,G01,2026-01-27 04:02:20,0.1227942838499756,5.095424517628218,100.97028439312116
15,G02,2026-01-27 04:02:20,0.08884374497553947,8.897694312961661,102.5121843297996
16,G04,2026-01-27 04:02:20,0.009422819333327963,10.778198026246558,99.27796515206055
17,G07,2026-01-27 04:02:20,0.08069280243995197,17.53257108944385,96.23437044267743
18,G08,2026-01-27 04:02:20,0.03767448169048311,12.950251370923182,100.34505862078666
19,G09,2026-01-27 04:02:20,0.06106529513341904,12.357088971646778,97.92571604918406
20,G27,2026-01-27 04:02:20,0.05563195348262647,15.29460447524338,102.25920962916022
21,G01,2026-01-27 04:02:30,0.12325933791451944,5.108784340043835,100.97478695167464
22,G02,2026-01-27 04:02:30,0.09928070526178394,8.90617282882425,102.51236961254475
23,G04,2026-01-27 04:02:30,0.010434933594303067,10.77295111576559,99.27823780576512
24,G07,2026-01-27 04:02:30,0.08470487304462362,17.52397688048226,96.24576378307415
25,G08,2026-01-27 04:02:30,0.0376744834466018,12.955301971422317,100.3464390065996
26,G09,2026-01-27 04:02:30,0.06106529513341904,12.351724162579677,97.92622735840234
27,G27,2026-01-27 04:02:30,0.057297374008462625,15.303946347929646,102.26431946489839
28,G01,2026-01-27 04:02:40,0.1239523931418695,5.122127859728994,100.97926893978806
29,G02,2026-01-27 04:02:40,0.11422009894776922,8.91463985371224,102.51255057079946
30,G04,2026-01-27 04:02:40,0.021318331006545937,10.767700034427873,99.27851086679055
31,G07,2026-01-27 04:02:40,0.08901575886736011,17.515387228960673,96.25712504813731
32,G08,2026-01-27 04:02:40,0.03767448520272048,12.960355702906332,100.34782416646198
33,G09,2026-01-27 04:02:40,0.06994954031547063,12.346361304676487,97.92673494422311
34,G27,2026-01-27 04:02:40,0.06963124271106162,15.313309223236955,102.26945082724342
35,G01,2026-01-27 04:02:50,0.11920636883340398,5.1354550484330685,100.98373042225894
36,G02,2026-01-27 04:02:50,0.12363221326978838,8.923095414061397,102.51272723215759
37,G04,2026-01-27 04:02:50,0.0286825347301148,10.762444761172228,99.27878434591453
38,G07,2026-01-27 04:02:50,0.08901575886736011,17.5068021699272,96.2684543103491
39,G08,2026-01-27 04:02:50,0.046915745978093254,12.965412581398326,100.34921411762143
40,G09,2026-01-27 04:02:50,0.08561623512060695,12.341000375172657,97.92723882110792
41,G27,2026-01-27 04:02:50,0.07840988149768666,15.322693187690286,102.27460381262851
42,G01,2026-01-27 04:03:00,0.11887129239698778,5.148765878382549,100.98817146383729
43,G02,2026-01-27 04:03:00,0.12447041584518947,8.931539536325962,102.51289962412118
44,G04,2026-01-27 04:03:00,0.03977542110035596,10.757185274894164,99.27905825393242
45,G07,2026-01-27 04:03:00,0.08901575886736011,17.49822173812412,96.2797516421776
46,G08,2026-01-27 04:03:00,0.0606629812734238,12.97047262293986,100.35060887737438
47,G09,2026-01-27 04:03:00,0.0889606837155074,12.335641351339785,97.9277390034787
48,G27,2026-01-27 04:03:00,0.09076493751503485,15.332098328163562,102.27977851798951
49,G01,2026-01-27 04:03:10,0.11472772893431915,5.162060322271289,100.99259212922152
50,G02,2026-01-27 04:03:10,0.1247320556112044,8.93997224697432,102.51306777410088
51,G04,2026-01-27 04:03:10,0.0466897181399756,10.751921554448193,99.27933260165744
52,G07,2026-01-27 04:03:10,0.08901575886736011,17.48964596799343,96.2910171160697
53,G08,2026-01-27 04:03:10,0.06633281381904059,12.97553584358877,100.35200846306563
54,G09,2026-01-27 04:03:10,0.08896068371550739,12.330284210488063,97.92823550571791
55,G27,2026-01-27 04:03:10,0.09301368282922635,15.341524731875108,102.2849750407646
56,G01,2026-01-27 04:03:20,0.11407827791914775,5.175338353272264,100.9969924830621
57,G02,2026-01-27 04:03:20,0.1325493397891124,8.94839357249627,102.51323170941625
58,G04,2026-01-27 04:03:20,0.0466897181399756,10.746653578642578,99.27960739992103
59,G07,2026-01-27 04:03:20,0.0771794578643248,17.48107489366976,96.30225080446085
60,G08,2026-01-27 04:03:20,0.06633281557515927,12.980602259424048,100.35341289208985
61,G09,2026-01-27 04:03:20,0.0751764995242454,12.324928929960507,97.92872834216908
62,G27,2026-01-27 04:03:20,0.09607303079959761,15.350972486399112,102.29019347890271
63,G01,2026-01-27 04:03:30,0.12425746865638286,5.188599945023772,101.00137258995609
64,G02,2026-01-27 04:03:30,0.12906458552342281,8.956803539396503,102.51339145729611
65,G04,2026-01-27 04:03:30,0.0466897181399756,10.74138132624302,99.27988265957279
66,G07,2026-01-27 04:03:30,0.07547535204625187,17.47250854898821,96.31345277976519
67,G08,2026-01-27 04:03:30,0.06633281733127797,12.985671886542205,100.35482218189087
68,G09,2026-01-27 04:03:30,0.07091837261127,12.31957548713702,97.92921752713691
69,G27,2026-01-27 04:03:30,0.09917381608004719,15.360441679659274,102.29543393086223
70,G01,2026-01-27 04:03:40,0.12722307613970057,5.201845071628304,101.00573251444658
71,G02,2026-01-27 04:03:40,0.12297193075460779,8.96520217419452,102.51354704487868
72,G04,2026-01-27 04:03:40,0.0466897181399756,10.736104775972224,99.28015839148067
73,G07,2026-01-27 04:03:40,0.07547535204625187,17.463946967485384,96.32462311437452
74,G08,2026-01-27 04:03:40,0.06633281908739665,12.99074474105764,100.35623634996195
75,G09,2026-01-27 04:03:40,0.07091837261127,12.314223859433696,97.92970307488741
76,G27,2026-01-27 04:03:40,0.0991738143239285,15.369932399930597,102.30069649561418
77,G01,2026-01-27 04:03:50,0.14046898412131778,5.2150737076520555,101.01007232102172
78,G02,2026-01-27 04:03:50,0.136485524813134,8.973589503425432,102.51369849921217
79,G04,2026-01-27 04:03:50,0.06973169749597236,10.730823906508776,99.28043460653122
80,G07,2026-01-27 04:03:50,0.092180988846143,17.455390182399544,96.33576188065852
81,G08,2026-01-27 04:03:50,0.08937480019951215,12.995820839103473,100.35765541384615
82,G09,2026-01-27 04:03:50,0.08328677057765176,12.308874024301595,97.93018499964823
83,G27,2026-01-27 04:03:50,0.12163782587014059,15.379444735842347,102.30598127264601
84,G01,2026-01-27 04:04:00,0.18539113157265172,5.228285828126312,101.01439207411484
85,G02,2026-01-27 04:04:00,0.2009435633311193,8.981965553641624,102.51384584725496
86,G04,2026-01-27 04:04:00,0.12880295793920682,10.725538696485629,99.28071131562976
87,G07,2026-01-27 04:04:00,0.14574783171884817,17.44683822666949,96.3468691509666
88,G08,2026-01-27 04:04:00,0.14892176391805004,13.00090019683313,100.35907939113703
