,SV,UTC,S4C,Lat,Lon
0,G01,2026-01-27 04:02:00,0.18059281343436712,7.671410202941514,101.4097765300746
1,G02,2026-01-27 04:02:00,0.11796531763811693,12.274386721161383,102.99665484510778
2,G04,2026-01-27 04:02:00,0.05899722348251526,14.36931687648389,99.5502925855364
3,G07,2026-01-27 04:02:00,0.17334621309637302,20.617744240176464,96.77672112301796
4,G08,2026-01-27 04:02:00,0.11820850677994407,16.528319768955434,100.63654289056326
5,G09,2026-01-27 04:02:00,0.09554736674468822,15.97260974377192,98.20163602048306
6,G27,2026-01-27 04:02:00,0.05723768705237637,18.642467524579043,102.42748854793533
7,G01,2026-01-27 04:02:10,0.1760758991077611,7.688360593532241,101.41476159609574
8,G02,2026-01-27 04:02:10,0.11010096312890914,12.284018038387664,102.99642612897247
9,G04,2026-01-27 04:02:10,0.05506407700646627,14.363787238645978,99.55050915616026
10,G07,2026-01-27 04:02:10,0.16262800146534925,20.610497646670122,96.78701379522724
11,G08,2026-01-27 04:02:10,0.12649056659669006,16.533131790232865,100.63785788437247
12,G09,2026-01-27 04:02:10,0.08917754405116103,15.96732706880264,98.20195517205615
13,G27,2026-01-27 04:02:10,0.05342184124888461,18.65054993268459,102.4319337034994
14,G01,2026-01-27 04:02:20,0.16933796860094696,7.705286543520123,101.4197209784986
15,G02,2026-01-27 04:02:20,0.11010096312890914,12.293633238713591,102.99619314868113
16,G04,2026-01-27 04:02:20,0.04262775550746848,14.358251935026882,99.55072612357101
17,G07,2026-01-27 04:02:20,0.1498214354363867,20.603254461766753,96.79727805342876
18,G08,2026-01-27 04:02:20,0.12846344809558982,16.53794566836931,100.63917729285012
19,G09,2026-01-27 04:02:20,0.08571951876738258,15.962045085372873,98.20227065361873
20,G27,2026-01-27 04:02:20,0.05342184124888461,18.65864798873416,102.43639705800692
21,G01,2026-01-27 04:02:30,0.1710069827776229,7.722188011472396,101.42465476599237
22,G02,2026-01-27 04:02:30,0.10019088969851309,12.303232362709199,102.9959559358602
23,G04,2026-01-27 04:02:30,0.04520221319265565,14.352710940461268,99.55094349891148
24,G07,2026-01-27 04:02:30,0.13669860535754222,20.596014708406823,96.80751396599437
25,G08,2026-01-27 04:02:30,0.11790731262251966,16.542761417170908,100.64050113135437
26,G09,2026-01-27 04:02:30,0.08571952052350128,15.956763771726816,98.20258247798556
27,G27,2026-01-27 04:02:30,0.04521883013685863,18.66676175609206,102.44087868815429
28,G01,2026-01-27 04:02:40,0.1658611599887047,7.7390649567431185,101.42956304722205
29,G02,2026-01-27 04:02:40,0.09883797841778172,12.312815450933227,102.99571452200621
30,G04,2026-01-27 04:02:40,0.053780818575444936,14.347164229717233,99.55116129334748
31,G07,2026-01-27 04:02:40,0.12852662517492558,20.588778409324707,96.81772160121461
32,G08,2026-01-27 04:02:40,0.11849152275224177,16.547579050449528,100.6418294152822
33,G09,2026-01-27 04:02:40,0.07483612311125816,15.951483106126076,98.20289065793838
34,G27,2026-01-27 04:02:40,0.055600287476600854,18.674891298367523,102.44537867102318
35,G01,2026-01-27 04:02:50,0.17395492248532032,7.755917339463287,101.4344459107645
36,G02,2026-01-27 04:02:50,0.09297789945790425,12.322382543929296,102.99546893848647
37,G04,2026-01-27 04:02:50,0.053780818575444936,14.341611777497254,99.55137951806799
38,G07,2026-01-27 04:02:50,0.13202159306749245,20.581545587052283,96.82790102729426
39,G08,2026-01-27 04:02:50,0.12045128338355007,16.552398582021738,100.64316216006935
40,G09,2026-01-27 04:02:50,0.07420820948316552,15.946203066851197,98.20319520622603
41,G27,2026-01-27 04:02:50,0.06616132406860269,18.683036679413313,102.44989708408147
42,G01,2026-01-27 04:03:00,0.17633816435647068,7.772745120541949,101.43930344512766
43,G02,2026-01-27 04:03:00,0.09056040315830367,12.331933682227278,102.99521921653941
44,G04,2026-01-27 04:03:00,0.053780818575444936,14.33605355843703,99.55159818428537
45,G07,2026-01-27 04:03:00,0.12467040186334219,20.57431626391801,96.83805231235456
46,G08,2026-01-27 04:03:00,0.12270786801598174,16.557220025709803,100.6444993811907
47,G09,2026-01-27 04:03:00,0.0661678897637304,15.940923632199835,98.20349613556469
48,G27,2026-01-27 04:03:00,0.06771522043909488,18.69119796332839,102.45443400518624
49,G01,2026-01-27 04:03:10,0.1804960028278061,7.789548261657165,101.44413573874662
50,G02,2026-01-27 04:03:10,0.08999059501566363,12.341468906340927,102.99496538727531
51,G04,2026-01-27 04:03:10,0.04410204617560467,14.330489547106176,99.55181730323542
52,G07,2026-01-27 04:03:10,0.12070383656274543,20.567090462049443,96.84817552443042
53,G08,2026-01-27 04:03:10,0.12318401183864536,16.56204339534105,100.64584109416036
54,G09,2026-01-27 04:03:10,0.067211954631384,15.935644780487996,98.20379345863817
55,G27,2026-01-27 04:03:10,0.06771522043909489,18.699375214457547,102.45898951258529
56,G01,2026-01-27 04:03:20,0.17615318337174465,7.806326725253089,101.4489428799819
57,G02,2026-01-27 04:03:20,0.08136079843868262,12.350988256768064,102.99470748167667
58,G04,2026-01-27 04:03:20,0.032371240396434714,14.324919718007443,99.55203688617776
59,G07,2026-01-27 04:03:20,0.11515314422667124,20.559868203374105,96.85827073146987
60,G08,2026-01-27 04:03:20,0.1202951976316829,16.566868704747947,100.64718731453173
61,G09,2026-01-27 04:03:20,0.07199949419363515,15.9303664900494,98.204087188098
62,G27,2026-01-27 04:03:20,0.05883097350092493,18.707568497392202,102.46356368491921
63,G01,2026-01-27 04:03:30,0.1715898668913084,7.823080474542362,101.45372495711881
